"Authors","Author full names","Author(s) ID","Title","Year","Source title","Volume","Issue","Art. No.","Page start","Page end","Cited by","DOI","Link","Abstract","Author Keywords","Index Keywords","Document Type","Publication Stage","Open Access","Source","EID"
"Liu J.; Yang P.; Zhang G.; Shang F.; Zhao X.; Bai Y.; Ma C.","Liu, Jia (36666782200); Yang, Puyu (59416838800); Zhang, Guangwei (59001252800); Shang, Furong (58138777100); Zhao, Xing (55604487400); Bai, Yuhang (57200820045); Ma, Cuiying (57190854044)","36666782200; 59416838800; 59001252800; 58138777100; 55604487400; 57200820045; 57190854044","Effect of Cr addition on the microstructure and mechanical properties of laser-cladded NbHfMoW refractory high-entropy alloy coatings","2026","International Journal of Refractory Metals and Hard Materials","141","","108031","","","0","10.1016/j.ijrmhm.2026.108031","https://www.scopus.com/pages/publications/105046198831?origin=resultslist","To address the insufficient surface strength of tungsten heavy alloys (WHAs), which limits their penetration performance, a series of Cr-modified NbHfMoWCrx (x = 0, 0.05, 0.10, 0.15, and 0.20) refractory high-entropy alloy coatings was fabricated on WHA substrates via laser cladding. Their microstructure, phase evolution, hardness, and wear resistance were systematically investigated. The coatings consist primarily of a BCC phase, accompanied by minor proportions of ω and σ intermetallic phases. Thermodynamic analysis confirms a strong tendency for solid-solution formation, while rapid solidification promotes the precipitation of intermetallic phases along grain boundaries. Increasing Cr content progressively suppresses dendritic growth and refines the grain structure. The coating hardness initially increases and then decreases with increasing Cr addition, reaching a maximum value of 1132.33 HV10 at x = 0.15, together with a low average friction coefficient of 0.221, which is significantly lower than that of the WHA substrate (0.322). Quantitative strengthening analysis reveals that solid-solution strengthening is the dominant strengthening mechanism, contributing approximately 80.65% of the overall hardness. These results indicate that Cr-modified NbHfMoW coatings exhibit excellent mechanical properties and show great potential for the surface strengthening of WHAs. © 2026 Published by Elsevier Ltd.","Mechanical properties; Microstructure; Refractory high-entropy alloy; Strengthening mechanism","Binary alloys; Chromium; Chromium alloys; Entropy; Grain boundaries; Grain growth; Grain refinement; Hardening; Hardness; High-entropy alloys; Intermetallics; Laser cladding; Metal cladding; Precipitation (chemical); Rapid solidification; Solid solutions; Strengthening (metal); Thermoanalysis; Tungsten alloys; Wear resistance; Alloy coatings; Cr addition; High entropy alloys; Intermetallic-phases; Mechanical; Microstructures and mechanical properties; Property; Refractory high-entropy alloy; Strengthening mechanisms; Surface strengths; Microstructure","Article","Final","","Scopus","2-s2.0-105046198831"
"Li K.; Yan W.; Li G.-H.","Li, Kun (60710666000); Yan, Wang (57201844526); Li, Guo-Hua (60710666100)","60710666000; 57201844526; 60710666100","Multi-dimensional properties and application progress of high-entropy alloys; [高熵合金的多维度性能及应用进展]","2026","Cailiao Rechuli Xuebao/Transactions of Materials and Heat Treatment","47","2","","29","46","0","10.13289/j.issn.1009-6264.2025-0111","https://www.scopus.com/pages/publications/105042711286?origin=resultslist","High-entropy alloys have attracted much attention due to their multi-primary element composition and excellent properties, which are suitable for aerospace, electronic devices, magnetic materials, catalysts and energy materials due to their outstanding performance in thermal, electrical, magnetic and corrosion resistance. The latest research progress of multi-dimensional properties of high-entropy alloys is reviewed, and its application prospect and future development direction in different fields are discussed. The high-entropy alloys have good high temperature stability but low thermal conductivity and high resistivity, but their conductivity and electromagnetic compatibility can be improved through composition design and process optimization. Their magnetic properties show diversity from antiferromagnetism to ferromagnetism. With high entropy effects and passivation characteristics, the high-entropy alloys perform well in harsh environments. Although the hardness of the high-entropy alloys is high, the processability and strength plasticity can be improved by additive manufacturing and heat treatment technology. Future research should focus on optimizing alloy composition through computational materials science and machine learning, exploring advanced manufacturing technology and reducing costs, so as to promote their application in the industrial field. © 2026 Chinese Mechanical Engineering Society. All rights reserved.","corrosion behavior; electrical property; high-entropy alloy; magnetic property; thermal property","","Article","Final","","Scopus","2-s2.0-105042711286"
"Chen M.; Li X.; Li S.; Yang W.; Chen S.; Peng D.; Shen Y.; Yang W.; Zhong W.","Chen, Mengyao (58906115700); Li, Xiaoquan (60381858100); Li, Shen (57416767900); Yang, Wanhuan (57226481482); Chen, Shuai (59458571400); Peng, Dequan (55552322800); Shen, Yingcai (60382207100); Yang, Wen (57198593697); Zhong, Weihua (35436700100)","58906115700; 60381858100; 57416767900; 57226481482; 59458571400; 55552322800; 60382207100; 57198593697; 35436700100","Influence of Hot Isostatic Pressing in Additive Manufacturing on Microstructure and Property of FeNiCrMnAl High-entropy Alloy; [热等静压对增材制造 FeNiCrMnAl 高熵合金 组织及力学性能的影响]","2026","Yuanzineng Kexue Jishu/Atomic Energy Science and Technology","60","1","","59","66","0","10.7538/yzk.2025.youxian.0399","https://www.scopus.com/pages/publications/105029900489?origin=resultslist","This study systematically investigates the effects of hot isostatic pressing (HIP) posttreatment on the microstructure and mechanical properties of selective laser melting (SLM)-fabricated FeNiCrMnAl high-entropy alloy. The work aims to characterize HIP-induced microstructural changes and evaluate their influence on mechanical performance under both room temperature and elevatedtemperature (300 ℃) conditions. The FeNiCrMnAl high-entropy alloy was fabricated using SLM technology. HIP treatment was subsequently applied to the as-built samples. Microstructural characterization was performed to analyze phase composition, grain morphology, and defect distribution. Mechanical properties were evaluated through tensile testing at room temperature and 300 ℃. Fracture surfaces were examined to determine failure mechanisms. HIP treatment effectively reduces void defects and improves densification in the SLM-fabricated alloy. The primary alloy phases and melt pool morphology remain unchanged after HIP processing. However, microstructural modifications occur, including grain coarsening and an increased proportion of low-angle grain boundaries. These changes lead to improved ductility, with the HIP-treated alloy exhibiting enhanced elongation compared to the as-built material. The fracture mechanism transitions from a mixed quasicleavage and ductile mode to predominantly ductile characteristics. The application of HIP postprocessing to SLM-produced FeNiCrMnAl high-entropy alloy demonstrates significant benefits for mechanical performance. While preserving the primary phase composition, HIP treatment modifies the microstructure to enhance ductility and alter fracture behavior. These findings provide fundamental insights into the use of HIP technology for optimizing additively manufactured metallic components. The study establishes that HIP can effectively improve the properties of SLM-fabricated high-entropy alloys without altering their fundamental phase characteristics. © 2026, Atomic Energy Press. All rights reserved.","additive manufacturing; high-entropy alloy; hot isostatic pressing; property regulation","Additives; Binary alloys; Coarsening; Ductile fracture; Ductility; Entropy; Fracture mechanics; Fracture testing; Grain boundaries; High-entropy alloys; Morphology; Phase composition; Ternary alloys; High entropy alloys; Hot-isostatic pressings; Mechanical performance; Microstructural changes; Microstructure and properties; Microstructures and mechanical properties; Post treatment; Property; Property regulation; Selective laser melting; Hot isostatic pressing; Tensile testing","Article","Final","","Scopus","2-s2.0-105029900489"
"Abrantes G.; Freitas Rodrigues P.; Ramos A.S.","Abrantes, Gonçalo (58983519600); Freitas Rodrigues, Patrícia (60774511700); Ramos, Ana Sofia (7401770170)","58983519600; 60774511700; 7401770170","Laser powder bed fusion of modified high entropy alloys","2026","Progress in Additive Manufacturing","","","","","","0","10.1007/s40964-026-01858-7","https://www.scopus.com/pages/publications/105046494413?origin=resultslist","This review compiles and analyzes the current state of the art of modified high entropy alloys (MHEAs) processed by laser powder bed fusion (LPBF), establishing composition-processing-microstructure-property relationships that define their printability, structural integrity, and performance. After contextualizing HEA/MHEA concepts and LPBF‑specific solidification phenomena, the review places particular emphasis on the modification strategies that tailor phase stability, melt‑pool behavior, and processability. These include targeted alloying additions, principal‑element ratio adjustments, and microalloying routes to stabilize FCC/BCC/B2 phase composition, mitigate cracking, and enable precipitation strengthening or microstructural refinement under LPBF’s rapid thermal cycles. A second major focus is the correlation between these compositional modifications and the resulting mechanical properties in both the as‑built and post‑processed conditions. The compiled data reveals distinct strength-ductility regimes across Cantor‑type alloys, Al‑containing dual‑phase systems, and refractory BCC‑based MHEAs, demonstrating how specific elemental additions, phase engineering strategies, and post‑processing treatments modulate hardness, tensile behavior, elongation, and failure modes. The comparative analysis highlights the strong dependency of mechanical properties on controlled phase fractions, segregation behavior, precipitates distribution, and defects. Overall, this review shows that the successful deployment of LPBF‑processed MHEAs critically depends on composition‑aware process design, where alloy modification strategies and mechanical property requirements must be jointly optimized. © The Author(s) 2026.","Defects; Laser powder bed fusion; Mechanical properties; Modified high entropy alloys; Processing parameters","","Review","Article in press","All Open Access; Hybrid Gold Open Access","Scopus","2-s2.0-105046494413"
"Cao Y.; Shang X.; Yang G.; Wang J.; Bai C.; Wang Y.; Luo M.; Jia Y.; Liu Q.","Cao, Yuanzheng (59388375300); Shang, Xiaojuan (56337735000); Yang, Guangkai (57223426139); Wang, Jie (59249237900); Bai, Chenkai (60341475100); Wang, Yiheng (60799416300); Luo, Mingshun (60799712900); Jia, Yiwang (56924180200); Liu, Qibin (57189031672)","59388375300; 56337735000; 57223426139; 59249237900; 60341475100; 60799416300; 60799712900; 56924180200; 57189031672","In situ radiographic and machine-learning-assisted study of grain refinement by FeCoCrNiAl HEA particles during solidification of Al-13Cu-0.2Zr alloy","2026","Journal of Alloys and Compounds","1080","","190453","","","0","10.1016/j.jallcom.2026.190453","https://www.scopus.com/pages/publications/105047998069?origin=resultslist","This study combines in situ synchrotron X-ray radiography, YOLOv8-based computer vision, and lattice Boltzmann method (LBM) simulations to clarify how ultrasonically dispersed FeCoCrNiAl high-entropy alloy (HEA) particles refine grains and regulate the curvilinear motion of primary α-Al grains during solidification of Al-13Cu-0.2Zr alloys. Increasing the HEA content from 0 to 0.5 wt% increased the grain density from 29.7 to 148.2 grains mm⁻³ and reduced the average grain size from 395.4 to 234 μm at a cooling rate of 0.2 K s⁻¹. The nucleation undercooling simultaneously decreased from 1.07 to 0.63 K, suggesting that the ultrasonically dispersed HEA particles likely act as effective heterogeneous nucleation substrates for primary α-Al. Time-resolved tracking reveals that the curvilinear motion of α-Al grains during the early-to-intermediate stages of solidification is governed by the coupled effects of thermosolutal convection and gravitational settling, wherein continuous Cu rejection at the solid-liquid interface induces macroscopic density gradients and downward convective plumes that are responsible for the highly nonlinear grain trajectories through the combined effects of fluid drag, gravity, and buoyancy. Increasing the cooling rate from 0.2 to 0.5 and 1.0 K s⁻¹ raises the peak nucleation density from 15.6 to 45.6 and 57.6 grains mm⁻³ s⁻¹, inhibiting grain growth and reducing the grain area at 6 s post-nucleation from 1.3 × 10 ³ μm² s⁻¹ to 0.9 × 10 ³ μm² s⁻¹ and 0.6 × 10 ³ μm² s⁻¹. The resulting finer grains reduce long-range Cu enrichment, lowering the maximum solute concentration from 13.6 to 13.2 wt% and weakening the convection intensity predicted by the LBM simulations. These results demonstrate that HEA particles provide an effective Zr-tolerant grain-refining strategy and offer mechanistic insights into the relationships among particle-induced nucleation, solute redistribution, melt convection, and grain motion. © 2026 Elsevier B.V.","Curve motion of grains; Grain refinement; Melt convection; Solidification; Zr poisoning","Alloying; Aluminum alloys; Binary alloys; Chromium alloys; Cobalt alloys; Copper alloys; Grain growth; Gravitation; Iron alloys; Nucleation; Phase interfaces; Ternary alloys; Undercooling; X ray radiography; Zirconium alloys; Alloy particles; Cooling rates; Curve motion of grain; Curvilinear motion; Grains refinement; High entropy alloys; Lattice Boltzmann method; Machine-learning; Melt convection; Zr poisoning; Grain refinement","Article","Final","","Scopus","2-s2.0-105047998069"
"Nam S.; Lee H.; Jung C.; Jeong S.G.; Kim H.S.; Sohn S.S.","Nam, Seungjin (56351692300); Lee, Hahun (59968855900); Jung, Chahee (58382969300); Jeong, Sang Guk (57263483300); Kim, Hyoung Seop (55921490700); Sohn, Seok Su (57205249855)","56351692300; 59968855900; 58382969300; 57263483300; 55921490700; 57205249855","Microstructural heterogeneity-driven strain hardening in L12-strengthened high-entropy alloys manufactured by laser-powder bed fusion","2026","Materials Characterization","240","","116914","","","0","10.1016/j.matchar.2026.116914","https://www.scopus.com/pages/publications/105046983151?origin=resultslist","L12-strengthened high-entropy alloys (L12-HEAs) are attractive structural materials owing to their excellent strength–ductility balance enabled by coherent ordered nanoprecipitates. However, their application to laser powder bed fusion (L-PBF) remains challenging because post-build aging frequently induces segregation-assisted precipitation of brittle intermetallic phases, causing severe ductility loss. This study demonstrates that this limitation can be overcome by combining thermodynamic alloy design with a direct aging strategy that introduces microstructural heterogeneity through partial recrystallization. An L12-HEA with a nominal composition of Cr15Fe15Co31Ni31Al4Ti4 (at.%) was designed to widen the FCC–L12 phase stability window and suppress brittle phase formation under additive manufacturing conditions. The alloy was fabricated by L-PBF and subsequently subjected to direct aging of the as-built microstructure. This processing route induces partial recrystallization, producing a heterogeneous grain structure consisting of fine recrystallized grains embedded within coarse columnar grains, together with a uniform distribution of coherent L12 nanoprecipitates. A conventional recrystallization-and-aging treatment yields a homogeneous grain structure with similar precipitate characteristics. The directly aged alloy exhibits a superior strength–ductility balance, achieving a yield strength of 1115 MPa, an ultimate tensile strength of 1565 MPa, and a uniform elongation of 18.1%. Deformation analyses reveal that fine coherent L12 nanoprecipitates contribute to planar-slip-dominated deformation, while grain-size heterogeneity activates pronounced hetero-deformation-induced (HDI) hardening through strain partitioning and dislocation pile-up. Cyclic loading–unloading–reloading tests further confirm an enhanced back-stress contribution in the heterogeneous microstructure. These results establish partial recrystallization as an effective microstructural design strategy for improving strain hardening and mechanical performance in additively manufactured L12-HEAs. © 2026","Hetero-deformation induced strengthening; High-entropy alloy; L1<sub>2</sub> nanoprecipitates; Laser-powder bed fusion; Microstructural heterogeneity","Aluminum alloys; Chromium alloys; Cobalt alloys; Crystal microstructure; Ductility; Entropy; Grain size and shape; High-entropy alloys; Piles; Precipitates; Precipitation (chemical); Recrystallization (metallurgy); Ternary alloys; Unloading; Yield stress; Hetero-deformation induced strengthening; High entropy alloys; L12 nanoprecipitate; Laser powders; Laser-powder bed fusion; Microstructural heterogeneity; Nanoprecipitate; Partial recrystallization; Powder bed; Strength ductility balance; Tensile strength","Article","Final","","Scopus","2-s2.0-105046983151"
"Miao L.; Wei H.; Cai Z.; Li X.; Zhu Z.; Wang X.; Liu T.; Liao W.","Miao, Liuhao (60026519800); Wei, Huiliang (54790291100); Cai, Zhousen (60712959500); Li, Xiaopeng (57371268600); Zhu, Zhiguang (57189691952); Wang, Xiebin (60418022900); Liu, Tingting (56235842200); Liao, Wenhe (57199719900)","60026519800; 54790291100; 60712959500; 57371268600; 57189691952; 60418022900; 56235842200; 57199719900","Laser powder bed fusion of TiCN reinforced FeCoCrNiMn high-entropy alloy: Superior mechanical properties and microstructural mechanisms","2026","Journal of Alloys and Compounds","1076","","189177","","","0","10.1016/j.jallcom.2026.189177","https://www.scopus.com/pages/publications/105042807622?origin=resultslist","The mechanical performance of laser powder bed fusion (LPBF) fabricated high-entropy alloys (HEAs) remains constrained at both ambient and cryogenic temperatures. Ceramic particle reinforcement is considered a promising strengthening strategy, yet its effects on solidification behavior, microstructural evolution, and temperature-dependent mechanical response are not fully understood. Here, we report the first successful fabrication of a TiCN particle reinforced FeCoCrNiMn HEA via LPBF. The introduction of TiCN markedly refined the grain structure, increased dislocation density, and significantly weakened the characteristic <100> solidification texture inherent to LPBF-processed HEAs. Concurrently, in situ TiN precipitation effectively suppressed the formation of detrimental Mn-rich oxides, contributing to improved microstructural stability. These synergistic microstructural modifications resulted in a room-temperature yield strength of 748 MPa and an ultimate tensile strength of 893 MPa. Grain-boundary strengthening, dislocation strengthening, and Orowan strengthening collectively dominate the yield-strength increment. At 77 K, the alloy achieved a yield strength of 995 MPa, representing a 32% enhancement relative to ambient conditions. The underlying mechanisms governing strength enhancement and the concurrent ductility reduction at cryogenic temperature were elucidated. Overall, this work establishes a novel understanding of particle-enabled strengthening in LPBF HEAs and provides a microstructural design strategy for achieving high strength across both ambient and cryogenic service environments. © 2026 Elsevier B.V.","Cryogenic properties; High-entropy alloy; Laser powder bed fusion; Mechanical properties; TiCN","Chromium alloys; Cobalt alloys; Cryogenics; Entropy; Grain boundaries; Iron alloys; Manganese alloys; Precipitation (chemical); Reinforcement; Solidification; Strengthening (metal); Ternary alloys; Textures; Titanium alloys; Titanium nitride; Yield stress; Ambients; Cryogenic properties; Cryogenic temperatures; High entropy alloys; Laser powder bed fusion; Laser powders; Mechanical; Microstructural mechanisms; Powder bed; Property; Tensile strength","Article","Final","","Scopus","2-s2.0-105042807622"
"Chang Z.; Wang X.; Ge Y.; Li J.; Tian G.; Yao G.; Yin X.","Chang, Zexin (57189505071); Wang, Xibin (60727005600); Ge, Yaqiong (35336473400); Li, Jing (57902807900); Tian, Guangyuan (60208832400); Yao, Gaolei (59364458500); Yin, Xu (60727100700)","57189505071; 60727005600; 35336473400; 57902807900; 60208832400; 59364458500; 60727100700","Metallic glass induces columnar-to-equiaxed transition for synergistic microstructure-property trade-off in additively manufactured Al0.1CoCrFeNi high-entropy alloys","2026","Journal of Alloys and Compounds","1078","","189729","","","0","10.1016/j.jallcom.2026.189729","https://www.scopus.com/pages/publications/105043963823?origin=resultslist","The inherently low room-temperature strength of face-centered cubic high-entropy alloys (FCC-HEAs) severely limits their widespread application. Here, we report a strategy to overcome this limitation by reinforcing Al0.1CoCrFeNi HEA with Zr41.2Ti13.8Cu12.5Ni10Be22.5 (Vit1) metallic glass (MG) using laser powder bed fusion (LPBF). A series of X wt% HEA/XMG (X = 0, 2, 5, 7, 10) high-entropy alloy composites (HEACs) were successfully fabricated, and the influence of Vit1 addition on their microstructure and mechanical properties was systematically investigated. The results show that the introduction of Vit1 effectively suppresses the epitaxial growth of columnar grains and promotes a columnar-to-equiaxed transition (CET), refining the average grain size significantly from 11.9 μm to 3.0 μm. This transition is associated with Vit1 crystallization, solute redistribution, and the intrinsic rapid solidification conditions during LPBF. Moreover, nanoscale precipitates formed at the CET interface are identified as Ni3Zr and Ni7Zr2, which exhibit a non‑coherent relationship with the Al0.1CoCrFeNi matrix. Among the investigated HEACs, the HEA/5MG sample exhibits the highest ultimate tensile strength of 1004 MPa, with a tensile elongation of 4.35%. This superior ultimate tensile strength arises from the synergistic contributions of precipitation strengthening, grain-boundary strengthening, and dislocation strengthening. The present work provides a new pathway for designing high-performance HEACs via interface engineering in additive manufacturing. © 2026 Elsevier B.V.","Columnar-to-equiaxed transition (CET); High-entropy alloys composites (HEACs); Laser powder bed fusion (LPBF); Non-coherent interface; Strengthening mechanisms","Aluminum alloys; Amorphous alloys; Beryllium alloys; Binary alloys; Chromium alloys; Cobalt alloys; Copper alloys; Entropy; Glass; Glass transition; Grain boundaries; Grain growth; High-entropy alloys; Microstructure; Rapid solidification; Strengthening (metal); Ternary alloys; Titanium alloys; Zirconium alloys; Alloy composites; Coherent interface; Columnar-to-equiaxed transition; High entropy alloys; High-entropy alloy composite; Laser powder bed fusion; Laser powders; Non-coherent interface; Powder bed; Strengthening mechanisms; Tensile strength","Article","Final","All Open Access; Hybrid Gold Open Access","Scopus","2-s2.0-105043963823"
"Wu D.; Rafid M.; Sadid N.; Hu H.","Wu, Duoli (56532774400); Rafid, Mustavi (59280278700); Sadid, Nahian (60515054400); Hu, Hongyu (59665241200)","56532774400; 59280278700; 60515054400; 59665241200","Laser-Clad Corrosion-Resistant Coatings for Waste Incineration Power Plants: Advances and Challenges","2026","Journal of Materials Engineering and Performance","","","","","","2","10.1007/s11665-026-13596-6","https://www.scopus.com/pages/publications/105033377470?origin=resultslist","High-temperature waste incineration power plants (WIPPs) expose boiler tubes, superheaters and grates to aggressive combinations of chlorine-rich flue gases, molten-salt deposits and erosive ash. These conditions rapidly degrade conventional steels. Laser cladding offers a way to fabricate dense, metallurgically bonded coatings by melting powder or wire feedstock with a focused laser. This review summarizes recent advances in laser-clad corrosion-resistant coatings for waste incineration power plants, focusing on Ni-based, Fe-based and multi-component alloys. Ni-based alloys, such as Inconel 625, provide high tensile strength and good high-temperature corrosion resistance; however, their cost and susceptibility to solidification cracking remain challenges. Fe-based and Co-based coatings are more economical, but they require alloying with Cr, Mo, or hard particles to withstand chloride-containing slags. High-entropy and amorphous alloys offer promising combinations of corrosion and wear resistance. The review compiles experimental data on laser power, scanning speed and composition to demonstrate how these parameters influence dilution, microstructure, hardness and corrosion rate. A corrosion-rate equation is introduced and used to normalize results across studies. Remaining challenges include predicting long-term performance in real boilers, controlling crack susceptibility and designing dimensionless parameters to guide alloy selection. Future research should focus on integrating in-situ monitoring, high-throughput alloy design, functionally graded interlayers, rare-earth and nano-additive grain refiners, hybrid deposition, machine-learning-guided process control and standardized accelerated tests. Integrating materials innovation with predictive process control could make laser cladding an indispensable technology for sustainable waste-to-energy systems. © ASM International 2026.","Corrosion and wear resistance; Fe-based coatings; high-entropy alloys; high-temperature chlorine corrosion; Inconel 625; laser cladding; machine-learning optimization; Ni-based coatings; waste-to-energy power plants; WC-reinforced composites","Amorphous alloys; Boiler corrosion; Chlorine; Chlorine compounds; Chromium alloys; Corrosion rate; Corrosion resistance; Corrosion resistant alloys; Corrosion resistant coatings; Hard coatings; High strength alloys; High temperature corrosion; High-entropy alloys; Laser materials processing; Machine learning; Particle reinforced composites; Salt deposits; Steel corrosion; Waste incineration; Chlorine corrosion; Corrosion and wear resistance; Fe-based coatings; High entropy alloys; High-temperature chlorine corrosion; Highest temperature; Inconel 625; Learning optimizations; Machine-learning; Machine-learning optimization; Ni-based coatings; Reinforced composites; Waste-to-energy power plants; WC-reinforced composite; Laser cladding","Review","Article in press","","Scopus","2-s2.0-105033377470"
"Pang X.; Pei F.; Duan T.; Gao S.","Pang, Xuming (35771389700); Pei, Fei (60593809600); Duan, Tianpei (60521636300); Gao, Sanyang (58890018300)","35771389700; 60593809600; 60521636300; 58890018300","Multi-scale bionic design and laser cladding of stealth coating","2026","International Journal of Mechanical Sciences","328","","112046","","","0","10.1016/j.ijmecsci.2026.112046","https://www.scopus.com/pages/publications/105048068765?origin=resultslist","Electromagnetic wave-absorbing coatings (EWACs) are indispensable for radar stealth, 6 G communication, and radio astronomy; however, their practical application is severely restricted by their inferior high-temperature stability and poor corrosion resistance in harsh marine atmospheric environments. To overcome this technical bottleneck, two high-performance FeCoNiCrAl-based bionic EWACs are fabricated via laser additive manufacturing in this study. A novel pomegranate-like bionic intrinsic wave-absorbing coating equipped with abundant multilayer heterogeneous interfaces is constructed to effectively enhance the dielectric loss capacity of the materials, and a minimum reflection loss (RLmin) of −15.1 dB is achieved at a coating thickness of 2 mm. Meanwhile, the laser-induced Marangoni convection-driven self-assembly mechanism of AlN/TiN core-shell heterostructures during laser cladding is revealed, where in situ generated TiN particles uniformly encapsulate AlN crystal nuclei to form a stable composite structure. Based on the electromagnetic multireflection and interference cancellation mechanism, cross-scale ordered porous coatings mimicking the light-absorbing textures of butterfly wings are further developed. The influence of the coating thickness, pore size, and periodic structure on the wave-absorption performance is systematically explored. The optimised porous coating delivers a superior RLmin of −37.39 dB and an effective absorption bandwidth of 3 GHz at a thickness of 5 mm. Comprehensive performance tests confirm the excellent high-temperature thermal stability and corrosion resistance of the as-prepared absorbers. The porous structural coating maintains prominent wave-absorption performance with RLmin values of −37.48 dB and −32.98 dB at 500 °C and 700 °C, respectively, and stably retains an RLmin value below −10 dB at 700 °C after salt spray corrosion treatment. This study realises the organic integration of tuneable bionic structural design and controllable laser cladding additive manufacturing, providing a novel and feasible strategy for the development of high-performance EWACs applicable to high-temperature and complex corrosive service environments. © 2026 Elsevier Ltd","Butterfly-wing porous absorber; Electromagnetic wave-absorbing coating; High-entropy alloy; High-temperature stability; Laser cladding; Pomegranate bionic core‒shell heterostructure","Aluminum nitride; Atmospheric corrosion; Bionics; Circular waveguides; Cladding (coating); Corrosion resistance; Corrosion resistant coatings; Electromagnetic wave absorption; Electromagnetic waves; Entropy; High temperature corrosion; High-entropy alloys; III-V semiconductors; Radar absorbing materials; Radio astronomy; Seawater corrosion; Shells (structures); Thermodynamic stability; Absorbing coatings; Butterfly wings; Butterfly-wing porous absorber; Core-shell heterostructures; Electromagnetic wave-absorbing coating; Electromagnetics; High entropy alloys; High temperature stability; Performance; Pomegranate bionic core‒shell heterostructure; Thickness measurement","Article","Final","","Scopus","2-s2.0-105048068765"
