"Authors","Author full names","Author(s) ID","Title","Year","Source title","Volume","Issue","Art. No.","Page start","Page end","Cited by","DOI","Link","Abstract","Author Keywords","Index Keywords","Document Type","Publication Stage","Open Access","Source","EID"
"Datsiou K.C.; Ashcroft I.","Datsiou, Kyriaki Corinna (57188561534); Ashcroft, Ian (7003672565)","57188561534; 7003672565","Numerical investigation of laser powder bed fusion of glass","2024","Glass Structures and Engineering","9","2","","185","200","3","10.1007/s40940-024-00257-0","https://www.scopus.com/pages/publications/85197419324?origin=resultslist","Additive manufacturing of glass using laser powder bed fusion has been recently developed, demonstrating its potential to be applied in small scale applications such as flow reactors for the chemical engineering and pharmaceutical manufacturing industries. While previous research demonstrated that complex 3-dimensional shapes can be manufactured, built parts are often brittle, exhibit high porosity and lack transparency. This study employs a transient, heat transfer finite element analysis to shed light on the thermal response of laser—glass powder bed interaction and the impact of processing parameters. Through this understanding, the research seeks to identify practical strategies that can be employed to improve the quality and properties of the built parts. Bulk solid and powder soda lime silica glass properties are used as input in the model, while the laser heat flux and scan strategy, conversion of powder feedstock to bulk solid glass and heat losses from convection and radiation effects are introduced in the model through Fortran coding. The study showed that effective powder consolidation, resulting in well-defined geometrical features, is achieved for temperatures near the glass melting point. Additionally, uniform consolidation depths and widths can be achieved by increasing laser power, elevating substrate temperature and reducing scan speed within certain limits, whilst ensuring hatch spacing is below the corresponding single scan track width for unidirectional adjacent laser trajectories. © The Author(s) 2024.","Additive manufacturing; Finite element analysis; Glass; Heat transfer analysis; Laser powder bed fusion","3D printing; Additives; Chemical industry; Finite element method; Fused silica; Heat flux; Heat transfer; Lime; Radiation effects; Bulk-solids; Finite element analyse; Flow reactors; Heat transfer analysis; Laser powder bed fusion; Laser powders; Numerical investigations; Pharmaceutical manufacturing; Powder bed; Smaller scale applications; Glass","Article","Final","All Open Access; Green Open Access; Hybrid Gold Open Access","Scopus","2-s2.0-85197419324"
"Say D.; Qaisar S.M.; Krichen M.; Zidi S.","Say, Dalila (58509140000); Qaisar, Saeed Mian (36550525100); Krichen, Moez (8973115500); Zidi, Salah (23995978100)","58509140000; 36550525100; 8973115500; 23995978100","Artificial intelligence assisted non-destructive testing of welding joints: A review of techniques, X-ray image processing and applications","2025","Engineering Applications of Artificial Intelligence","160","","111792","","","11","10.1016/j.engappai.2025.111792","https://www.scopus.com/pages/publications/105013520351?origin=resultslist","Non-Destructive Testing (NDT) is an appealing technique for verifying welding quality and ensuring structural integrity without causing damage. It assists in regulatory compliance, risk mitigation, and process optimization for improved industrial reliability. This study reviews potential NDT approaches. Through a rigorous analysis of existing surveys, we aim to decipher the current landscape and highlight the significant advancements in the field. Because of the potential of artificial intelligence (AI) assistive X-ray imaging-based NDT, we particularly examine the integration of AI algorithms and X-ray imaging in the NDT of welds. This convergence represents a paradigm shift, redefining traditional methods and ushering in a new era of precision, automation, and efficiency. As we navigate through potential X-ray imaging datasets, delve into crucial image processing techniques, examine feature extraction methods, and explore AI algorithms, our survey reveals the intricate interplay of technologies that drive automated weld defect categorization, size detection, and segmentation. The review broadens its focus by including various practical applications, highlighting the adaptable utility of AI-assistive X-ray imaging for weld defect detection in potential industrial applications. Moreover, the promising future developments, opportunities, and nuanced challenges associated with integrating X-ray imaging and AI in weld integrity assessment are highlighted. It provides a comprehensive perspective on this rapidly evolving field. © 2025 Elsevier Ltd","Algorithms; Applications; Classification; Deep learning; Ensemble learning; Large language models; Machine learning; Non-destructive testing; Segmentation; Size of defects; Weld defects; X-ray imaging","Bridge decks; Defects; Feature extraction; Learning algorithms; Nondestructive examination; Regulatory compliance; Welding; Welds; X ray analysis; Deep learning; Ensemble learning; Language model; Large language model; Machine-learning; Non destructive testing; Segmentation; Size of defect; Weld defects; X-ray imaging; Classification (of information); Image segmentation","Short survey","Final","","Scopus","2-s2.0-105013520351"
"Li L.; Chen H.; Wang X.; Liao Z.","Li, L. (57259554300); Chen, H. (55199344900); Wang, X. (56048779900); Liao, Z. (57215667786)","57259554300; 55199344900; 56048779900; 57215667786","Effects of vector length on the melt pool morphology and grain structure characteristics of Alloy 718 in laser powder bed fusion","2024","Journal of Materials Processing Technology","326","","118317","","","20","10.1016/j.jmatprotec.2024.118317","https://www.scopus.com/pages/publications/85185565842?origin=resultslist","This study investigated the effects of vector length, including Short-vector (80 µm), Long-vector (4000 µm), Long-Short vector (4000 µm and 80 µm), and Incremental vector (ranging from 80 µm to 400 µm), on the melt pool morphology and grain structure characteristics of Alloy 718 during laser powder bed fusion (LPBF). The melt pool morphologies and microstructure characteristics at different vector lengths were examined via optical microscopy (OM), scanning electron microscopy (SEM) and electron backscatter diffraction (EBSD). It was shown that the melt pool depth for Short-vector printing (about 138 µm) exceeded that of Long-vector printing (about 85 µm). This was due to that the energy densities were not the same at different vector lengths when considering the actual laser motion. The slow scanning speed caused excessive energy input in short vectors, resulting in narrow and deep melt pools. As the vector length increased, the preferred < 001 > growth direction along the scanning direction was not significantly affected by vector length, whilst grains were likely to rotate around the scanning direction to < 011 > ⊥BD. In addition, with the increase in vector length, grain size correspondingly increased from less than 20 µm in Short-vector printing to over 50 µm in Long-vector printing. However, this increase in grain size was accompanied by a reduction in hardness, declining from approximately 347.6 ± 7.5 to 298.2 ± 4.4 HV. This is the first time in the literature to report the vector length effect on the grain structure characteristics in LPBF. © 2024 The Authors","Grain growth; Laser powder bed fusion (LPBF); Melt pool morphology; Vector length","Crystal microstructure; Grain size and shape; Lakes; Morphology; Scanning electron microscopy; Vectors; Alloy 718; Grainsize; Laser powder bed fusion; Laser powders; Melt pool; Melt pool morphology; Powder bed; Short vectors; Structure characteristic; Vector length; Grain growth","Article","Final","All Open Access; Green Open Access; Hybrid Gold Open Access","Scopus","2-s2.0-85185565842"
"Zeng C.; Kang Q.; Duan Z.; Qin B.; Feng X.; Lu H.; Lin Y.","Zeng, Chenhao (55899714500); Kang, Qing (55388767400); Duan, Zhongshan (37110611700); Qin, Bing (58828227200); Feng, Xiaojie (55964979100); Lu, Haoyuan (58298336700); Lin, Yuanye (57338647200)","55899714500; 55388767400; 37110611700; 58828227200; 55964979100; 58298336700; 57338647200","Development of Polymer Composites in Radiation Shielding Applications: A Review","2023","Journal of Inorganic and Organometallic Polymers and Materials","33","8","","2191","2239","95","10.1007/s10904-023-02725-6","https://www.scopus.com/pages/publications/85160850077?origin=resultslist","Radiation shielding materials based on composites play a crucial role in safeguarding nuclear-related installations, equipment, and employees from harmful radiation. With the advent of new and challenging nuclear security conditions, the development of radiation-protective materials has undergone significant changes. Thanks to the advancements in science and technology, especially in the field of nanomaterials technology, it is now possible to produce radiation protection materials that offer high all-around performance. This article discusses the current research on composite-based radiation shielding materials. It first describes the current state and distribution of radiation shielding studies worldwide. Then, it categorizes and reviews composite-based radiation protection materials, taking into account the study topic and the field’s requirements. The three broad categories of composite-based radiation protection materials are polymer-based composites, metal-based composites, and fabric-based composites. Space radiation shielding materials are categorized separately (as a point of reference). The mechanical, thermal, and shielding properties of radiation protection materials are briefly discussed here. In addition, the primary research challenges are outlined along with the research methodologies that academics employ to examine properties and property change trends. Finally, a summary of the properties of the radiation protection materials discussed in the complete paper is provided, followed by an analysis of the current research gaps and potential future paths. © 2023, The Author(s), under exclusive licence to Springer Science+Business Media, LLC, part of Springer Nature.","Fabric-base materials; Metal-based materials; Polymer-based materials; Radiation shielding; Space radiation shielding materials","'current; Base material; Fabric-base material; Metal-based material; Polymer-based materials; Property; Protection material; Radiation shielding material; Space radiation shielding; Space radiation shielding material; Radiation shielding","Review","Final","","Scopus","2-s2.0-85160850077"
"Bimrose M.V.; Hu T.; McGregor D.J.; Wang J.; Tawfick S.; Shao C.; Liu Z.; King W.P.","Bimrose, Miles V. (57668356700); Hu, Tianxiang (57208222795); McGregor, Davis J. (57204606007); Wang, Jiongxin (59145337300); Tawfick, Sameh (6503947488); Shao, Chenhui (36444334200); Liu, Zuozhu (57194053020); King, William P. (26643645400)","57668356700; 57208222795; 57204606007; 59145337300; 6503947488; 36444334200; 57194053020; 26643645400","Detecting and classifying hidden defects in additively manufactured parts using deep learning and X-ray computed tomography","2025","Journal of Intelligent Manufacturing","36","5","103795","3465","3479","18","10.1007/s10845-024-02416-0","https://www.scopus.com/pages/publications/85194226805?origin=resultslist","Automated methods for defect detection are a major goal of intelligent manufacturing systems, and additively manufactured (AM) parts presents unique challenges with complex internal features that are difficult to inspect. X-ray computed tomography (CT) is one of the only methods to inspect the interior of AM parts. This paper shows how deep machine learning (ML) models trained using computer-generated images of defects can automatically identify defects in CT images of real parts that were never previously seen by the model. To create an experimental dataset for testing, we designed a nozzle part having internal three-dimensional (3D) geometries and for some parts introduced intentional defects. Two different resin-based AM processes fabricated 227 parts, some of which were defect free and some of which included intentionally designed defects. CT scans were collected for each part which generated 100,334 cross section image slices that were labeled as defect free (86.4%) or having a defect (13.6%). To train a ML model for defect detection, we developed a novel method to create computer-generated images of defects from defect-free parts. More than 50,000 images of defective parts were generated and used to train a Vision Transformer (ViT) model. The model was tested on 572 defects in experimental parts. The defects that appear in the real parts for testing do not appear in the computer-generated training dataset. The model accurately detects and classifies defective parts with over 90% accuracy. The research demonstrates the potential of synthetic data to train deep learning models capable of detecting previously unseen defects. Such methods could be generalized to many types of part designs and defect types while greatly reducing the time and cost of training ML models for defect detection. © The Author(s), under exclusive licence to Springer Science+Business Media, LLC, part of Springer Nature 2024.","Additive manufacturing; Defect detection; Machine learning; Nondestructive inspection; Quality systems; Synthetic data","Additives; Computerized tomography; Deep learning; Defects; Inspection; Learning systems; Nondestructive examination; Statistical tests; Computer-generated images; Defect detection; Defect-free; Machine learning models; Machine-learning; Non destructive inspection; Quality systems; Real part; Synthetic data; X-ray computed tomography; 3D printing","Article","Final","","Scopus","2-s2.0-85194226805"
"Aniulis J.; Dudzik G.; Abramski K.M.","Aniulis, Jakub (58975848600); Dudzik, Grzegorz (24467439300); Abramski, Krzysztof M. (7004659074)","58975848600; 24467439300; 7004659074","Automated non-destructive 3D printing filament material properties monitoring based on electric permittivity, longitudinal encoding and diameter multi-axes real-time measurements","2024","Additive Manufacturing","84","","104103","","","5","10.1016/j.addma.2024.104103","https://www.scopus.com/pages/publications/85189745935?origin=resultslist","Rapid prototyping is an essential part of today's research and development process. The ability to produce objects quickly, cost-effectively and on-site is critical to meeting this fundamental requirement. One of the factors that leads to inconsistencies and defects in the produced parts is the uncompensated change in material properties used in the material extrusion 3D printing manufacturing process. This creates the need for a real-time, low-cost filament quality monitor that can characterize the material properties of the filament along its length. This can be achieved by tracking the variation in measured capacitive tube capacitance and diameter of different sensor types over multiple selected axes and encoding the results to a specific fragment of filament used in material extrusion 3D printing. With such collected data it is possible to monitor factors such as material moisture, roundness, internal and external defects, component proportions, relative electrical permeability, Poisson's ratio and material type. This work presents the first proof of concept of such a device and describes its operating principle in detail. As examples of applications, filament material type recognition is presented based on the characteristics of several types of filaments from different manufacturers, the process of moisture absorption over time for selected filaments is described, and the detection of defects of varying degrees is shown. © 2024 The Author(s)","3D printing; Capacitance sensor; Diameter characteristic; Filament moisture; Material properties measurement; Relative electric permittivity","3D printing; Capacitance; Capacitive sensors; Defects; Encoding (symbols); Extrusion; Moisture determination; Permittivity; Signal encoding; %moisture; 3-D printing; 3D-printing; Capacitance sensors; Diameter characteristic; Electric permittivities; Filament materials; Filament moisture; Material property measurements; Relative electric permittivity; Moisture","Article","Final","All Open Access; Hybrid Gold Open Access","Scopus","2-s2.0-85189745935"
"Thanumoorthy R.S.; Sharma S.; Bontha S.; Balan A.S.S.","Thanumoorthy, Raja S. (58410312500); Sharma, Subramanya (59333947200); Bontha, Srikanth (6508165592); Balan, A.S.S. (57007910600)","58410312500; 59333947200; 6508165592; 57007910600","Laser powder-directed energy deposition of CuCrZr using increasing LEPF approach: process development and characterization for mechanical and thermal properties","2025","Progress in Additive Manufacturing","10","8","","5601","5621","2","10.1007/s40964-024-00927-z","https://www.scopus.com/pages/publications/85213403104?origin=resultslist","Laser Powder-Directed Energy Deposition (LP-DED) process offers potential scope in the fabrication of large-scale components and in the areas of remanufacturing technology. As the LP-DED process offers higher build volume and better control over the properties compared to other additive manufacturing techniques real-time critical components such as rocket nozzles, turbine blades, etc., can be fabricated. Fabrication of copper alloys using the LP-DED process is challenging due to the material’s poor laser absorptivity and unstable melt-pool dynamics. Hence, the current study focuses on developing a process map for fabricating sound CuCrZr deposits using the LP-DED process. Single-track analysis revealed that continuous and stable single tracks were achieved at low-power settings. Tracks with high power conditions exhibited keyhole porosity as a result of the vaporization of copper elements. However, low power conditions were not sufficient in the fabrication of bulk specimens as a result of variance in the cooling rate near the substrate (SS316L) and after deposition (CuCrZr). As a result, the increasing laser energy per unit feed (LEPF) approach was followed i.e., laser power of 200 W for the first three layers followed by 1000W for further layers. Fabricated samples exhibited superior density (97.5%) with no solute segregation (Cr or Zr). CuCrZr samples revealed long preferentially oriented columnar grains with < 111 > crystallographic texture extending parallel to the build direction. Tensile and thermal property testing revealed anisotropic behavior as a result of varying mean aspect ratios of the grains, dislocation density across planes, and the preferential orientation of the crystals. © The Author(s), under exclusive licence to Springer Nature Switzerland AG 2024.","CuCrZr; LP-DED; Optimization; Tensile; Thermal conductivity","","Article","Final","","Scopus","2-s2.0-85213403104"
"Fieser D.; Lawton M.; Bahl S.; Ziabari A.; Grejtak T.; Meier J.M.; Smith M.; Plotkowski A.; MacDonald E.; Hu A.","Fieser, David (58134039700); Lawton, Michael (60435579000); Bahl, Sumit (55290848400); Ziabari, Amirkoushyar (55310843700); Grejtak, Tomas (57193764308); Meier, Janet M. (57189730469); Smith, Mason (60435298700); Plotkowski, Alex (55336535000); MacDonald, Elaine (58886609300); Hu, Anming (7202699762)","58134039700; 60435579000; 55290848400; 55310843700; 57193764308; 57189730469; 60435298700; 55336535000; 58886609300; 7202699762","Optimization of Processing, Microstructure, and Hardness of an Al–Ce–Ni–Mn–Zr Alloy With Laser Additive Manufacturing","2026","Advanced Engineering Materials","28","8","e202502615","","","0","10.1002/adem.202502615","https://www.scopus.com/pages/publications/105031861577?origin=resultslist","This study examines the processing behavior, microstructure, surface roughness, and hardness properties of an aluminum alloy containing 8.2 Ce, 4.5 Ni, 0.5 Mn, and 0.7 Zr (wt%) fabricated using laser powder bed fusion. Sixty samples were produced across a range of laser powers, scan speeds, and hatch spacings to evaluate their effect on porosity, hardness, and microstructural features. Porosity was measured using X-ray computed tomography, while microstructure and surface roughness were characterized by scanning electron (SEM) and laser confocal microscopy. High dense and cracking-free Al–Ni–Ce alloy was successfully manufactured. Porosity showed a U-shaped dependence on energy input, increasing under both insufficient and excessive melting conditions. Hardness increased with cooling rate due to finer cellular structures and solute redistribution. A general statistical model was developed to capture the relationships between processing parameters and material response. Results identify a narrow processing window defined by laser powers between 350 and 370 W, scan speeds from 1400 to 1800 mm/s, and hatch distances between 0.14 and 0.18 mm. Within this window, porosity is minimized (below 0.01%) and hardness is maximized (up to 160 HV), demonstrating that careful control of these parameters enables dense, high strength aluminum components suitable for demanding structural applications. © 2026 Wiley-VCH GmbH.","aluminum alloys; hardness; laser powder bed fusion; porosity; roughness","Computerized tomography; Microstructural evolution; Scanning electron microscopy; Laser additive manufacturing; Laser powder bed fusion; Laser powders; Laser power; Optimisations; Powder bed; Property; Scan speed; Surface hardness; Zr alloys; Aluminum alloys; Hardness; Porosity; Surface roughness","Article","Final","","Scopus","2-s2.0-105031861577"
"Verma S.K.; Ahn S.Y.; Kumar S.; Yu G.; Cho H.; Zargaran A.; Lee G.; Jeong S.G.; Sagong M.J.; Koo B.W.; Lee S.H.; Cho J.-W.; Kim H.S.; Kim K.","Verma, Shailendra Kumar (57213739579); Ahn, Soung Yeoul (57306547500); Kumar, Sushil (60369504300); Yu, Gaon (59560124700); Cho, Hyeonseok (58993599400); Zargaran, Alireza (56602642900); Lee, Gitaek (59047539200); Jeong, Sang Guk (57263483300); Sagong, Man Jae (57305928200); Koo, Bon Woo (59958544700); Lee, Seung Hoon (57194715949); Cho, Jung-Wook (57139167400); Kim, Hyoung Seop (60334897200); Kim, Kyoungdoc (59925850000)","57213739579; 57306547500; 60369504300; 59560124700; 58993599400; 56602642900; 59047539200; 57263483300; 57305928200; 59958544700; 57194715949; 57139167400; 60334897200; 59925850000","Solidification microstructure and elemental segregation in laser-based powder bed fusion additively manufactured IN738LC Ni-based superalloy","2026","Materials and Design","263","","115568","","","1","10.1016/j.matdes.2026.115568","https://www.scopus.com/pages/publications/105029258269?origin=resultslist","We systematically investigate the solidification microstructure and elemental segregation in Inconel 738LC fabricated via laser-based powder bed fusion of metals (PBF-LB/M) under three representative process conditions. Microstructural characterizations confirm a strong correlation between thermal input, solidification behavior, and microstructural anisotropy. Within the conditions, the high laser power and scan speed result in low porosity, low micro-cracks, and minimum lack-of-fusion defects. A combination of three-dimensional finite element method (FEM) simulations and phase-field modeling (PFM) quantify the thermal gradients, cooling rates, and predicts dendritic growth behavior. Optimized laser power and scan speed lead to a relatively low thermal gradient, which gives dendrite impingement. The dendrite impingement decreases undercooling, thereby lowering solute partitioning ratio between cell core and cell boundary. The high laser power condition induces a relatively low interface velocity with a larger tip radius, lowering solute segregation of γ’ forming elements based on the Gibbs-Thomson effect. Thus, the high laser power condition gives a relatively low volume fraction of MC carbides, possibly enhancing γ’ precipitation for strength during the post heat treatment process. This work provides new insights into the process-structure–property relationship in PBF-LB/M of IN738LC and establishes a modeling framework for predicting microstructure and segregation phenomena in Ni-based superalloy. © 2026 The Author(s).","Finite element modeling; Inconel 738LC; Laser-based powder bed fusionofmetals; Phase-field modeling; Solidification","Cracks; Dendrites (metallography); Nickel compounds; Phase interfaces; Powder metals; Precipitation (chemical); Segregation (metallography); Thermal gradients; Undercooling; Element models; Finite element modeling; High laser power; Inconel; Inconel 738lc; Laser-based; Laser-based powder bed fusionofmetal; Phase field models; Powder bed; Solidification microstructures; Nickel alloys","Article","Final","All Open Access; Gold Open Access; Green Open Access","Scopus","2-s2.0-105029258269"
"Nabavi S.F.; Nahavandi S.; Garmestani H.","Nabavi, Seyedeh Fatemeh (57202009727); Nahavandi, Saeid (55992860000); Garmestani, Hamid (7005507845)","57202009727; 55992860000; 7005507845","From physics to intelligence: a review of AI-driven modeling strategies in laser direct energy deposition additive manufacturing","2026","Optics and Laser Technology","199","","114946","","","1","10.1016/j.optlastec.2026.114946","https://www.scopus.com/pages/publications/105031436229?origin=resultslist","Laser Directed Energy Deposition (L-DED) has become a practical and flexible approach within additive manufacturing. This manufacturing process is considered to produce new metallic parts, restore worn components, and even create materials with graded properties. Considering its noticeable advantages, the process is complex, which includes parameters such as laser power, scan speed, powder feed rate, and beam quality interact in complex ways, making it challenging to predict outcomes or maintain steady quality. Thus, getting the process consistent and scaling it up for real industrial use is still a big challenge. Recently, researchers have started looking at Artificial Intelligence (AI) and Machine Learning (ML) as possible ways to handle the problem. The traditional methods—analytical, numerical, and empirical— helped explained some physical aspects of process such as heat flow, melt pool behavior, and structural changes, but they do not capture the process in its entirety. But when the shapes get complicated or when a new alloy comes in, those models just don't hold up very well. AI methods, on the other hand, show promise. Techniques such as surrogate modeling, evolutionary optimization, deep learning, and natural-language tools are being used to link process parameters with sensor data and part quality. Case studies report improvements in predicting melt pool geometry, defect monitoring, and adaptive control. Models including CNNs, RNNs, support vector regression, Gaussian processes, and optimization frameworks like NSGA-II, combined with explainability tools such as SHAP, have already been applied with encouraging results. The comparison is striking AI-assisted approaches usually achieve better accuracy, cut down on repeated experiments, and open the door to inverse design and feedback-based control. That said, problems remain. Datasets are still narrow, models trained in one setup rarely generalize to others, and physical understanding is not yet fully integrated with data-driven methods. Moving ahead, progress will depend on hybrid modeling that brings physics and data together, stronger multi-objective optimization frameworks, and real-time adaptive control. This review sets out to capture these developments and to point toward the research needed to make L-DED not only more intelligent but also more reliable and scalable for industry. © 2026 Elsevier Ltd","Additive Manufacturing Process Modeling; Artificial Intelligence in Additive Manufacturing; Deep Learning in Laser-Based Manufacturing; Laser Directed Energy Deposition (L-DED); Machine Learning for Metal 3D Printing","Adaptive control systems; Additives; Deposition; Gaussian distribution; Learning systems; Modeling languages; Multiobjective optimization; Natural language processing systems; Process control; Regression analysis; 3-D printing; 3D-printing; Additive manufacturing process; Additive manufacturing process modeling; Artificial intelligence in additive manufacturing; Deep learning in laser-based manufacturing; Directed energy; Energy depositions; Laser directed energy deposition; Laser-based; Machine learning for metal 3d printing; Machine-learning; Manufacturing process modeling; Deep learning","Review","Final","","Scopus","2-s2.0-105031436229"
