"Authors","Author full names","Author(s) ID","Title","Year","Source title","Volume","Issue","Art. No.","Page start","Page end","Cited by","DOI","Link","Abstract","Author Keywords","Index Keywords","Document Type","Publication Stage","Open Access","Source","EID"
"Lee M.; Park T.; Min K.","Lee, Myeonghun (57437803400); Park, Taehyun (55360830700); Min, Kyoungmin (57188728541)","57437803400; 55360830700; 57188728541","Matini-Net: Versatile Material Informatics Research Framework for Feature Engineering and Deep Neural Network Design","2024","Journal of Chemical Information and Modeling","64","23","","8770","8783","3","10.1021/acs.jcim.4c01676","https://www.scopus.com/pages/publications/85209724612?origin=resultslist","In this study, we introduced Matini-Net, which is a versatile framework for feature engineering and automated architecture design for materials informatics research using deep neural networks. Matini-Net provides the flexibility to design feature-based, graph-based, and combinations of these models, accommodating both single- and multimodal model architectures. For validation, we performed a performance evaluation on the MatBench benchmarking dataset of five properties, targeting five types of regression architectures that can be designed using Matini-Net. When applied to each of the five material property datasets, the best model performance for the various architectures exhibited R2 > 0.84. This highlights the usefulness and flexibility of Matini-Net for accelerating materials discovery. Specifically, this framework was developed for researchers with limited experience in deep learning to easily apply it to research through automated feature engineering, hyperparameter tuning, and network construction. Moreover, Matini-Net improves the model interpretability by performing an importance analysis of the selected features. We believe that by employing Matini-Net, machine and deep learning can be applied more easily and effectively in various types of materials research. (Figure presented) © 2024 American Chemical Society.","","Deep Learning; Informatics; Materials Science; Neural Networks, Computer; Architectural design; Benchmarking; Integrated circuit design; Architecture designs; Design features; Feature engineerings; Feature-based; Informatics research; Informatics research frameworks; Material Informatics; Neural network designs; Neural-networks; Property; artificial neural network; deep learning; information science; materials science; procedures; Deep neural networks","Article","Final","","Scopus","2-s2.0-85209724612"
"Coutinho Y.A.; Vervliet N.; De Lathauwer L.; Moelans N.","Coutinho, Yuri Amorim (57193536940); Vervliet, Nico (56337182400); De Lathauwer, Lieven (6701866141); Moelans, Nele (22981064700)","57193536940; 56337182400; 6701866141; 22981064700","Combining thermodynamics with tensor completion techniques to enable multicomponent microstructure prediction","2020","npj Computational Materials","6","1","2","","","19","10.1038/s41524-019-0268-y","https://www.scopus.com/pages/publications/85077580046?origin=resultslist","Multicomponent alloys show intricate microstructure evolution, providing materials engineers with a nearly inexhaustible variety of solutions to enhance material properties. Multicomponent microstructure evolution simulations are indispensable to exploit these opportunities. These simulations, however, require the handling of high-dimensional and prohibitively large data sets of thermodynamic quantities, of which the size grows exponentially with the number of elements in the alloy, making it virtually impossible to handle the effects of four or more elements. In this paper, we introduce the use of tensor completion for high-dimensional data sets in materials science as a general and elegant solution to this problem. We show that we can obtain an accurate representation of the composition dependence of high-dimensional thermodynamic quantities, and that the decomposed tensor representation can be evaluated very efficiently in microstructure simulations. This realization enables true multicomponent thermodynamic and microstructure modeling for alloy design. © 2020, The Author(s).","","Clustering algorithms; Tensors; Thermodynamics; Composition dependence; High dimensional data; Micro-structure evolutions; Microstructure model; Microstructure simulations; Multi-component alloy; Tensor representation; Thermodynamic quantities; Microstructure","Article","Final","All Open Access; Gold Open Access; Green Open Access","Scopus","2-s2.0-85077580046"
"Matson T.P.; Tuchinda N.; Schuh C.A.","Matson, Thomas P. (57219218279); Tuchinda, Nutth (57204034200); Schuh, Christopher A. (7005098852)","57219218279; 57204034200; 7005098852","Overview: The spectral model of grain boundary segregation","2026","Acta Materialia","313","","122109","","","0","10.1016/j.actamat.2026.122109","https://www.scopus.com/pages/publications/105035812897?origin=resultslist","Grain boundaries are comprised of a wide variety of different atomic sites, and each of those sites has its own local environment, energetics, and tendency to attract or repel the solute elements dissolved in an alloy. The chemical segregation of solutes to grain boundaries is a classical and pervasive problem in materials science, but treatment of the full spectrum of grain boundary sites in a generalized polycrystalline ensemble has not been rigorously possible until recently. This overview article holistically summarizes the recent rapid developments in such spectral modeling, and foreshadows those coming in the future. Beginning from self-consistent definitions of the thermodynamic site properties (enthalpy and excess entropy of segregation), considering the solute interactions at non-dilute concentrations, and treating the statistical mechanics of configurational entropy, we elaborate the use of a full, multi-variate segregation isotherm that can be applied to any binary alloy system. We review the existing computational methods of determining those spectra, and survey spectral databases developed for thousands of alloys at various levels of accuracy. Preferred sets of spectral parameters are provided for appropriately simplified versions of the segregation isotherm, to facilitate wide usage of the model. We proceed to highlight the key successes of the spectral model, including its validation against full atomistic Monte Carlo simulations and a variety of experiments. Alloy design efforts that use spectral data to target interesting segregation behaviors are illustrated, including extensions to complex cases like ternary alloys with solutes that collaborate to fill grain boundary sites, and nanocrystalline alloys with stable grain boundaries. The state of the spectral model is sufficiently robust that significant physical problems with historical, non-spectral models are now coming more clearly to light; the time is right for broader replacement of historical models with spectral ones. © 2026 The Author(s).","Alloy thermodynamics; Grain boundary segregation; Grain boundary structure; Materials design","Alloying; Binary alloys; Entropy; Isotherms; Monte Carlo methods; Nanocrystals; Polycrystalline materials; Segregation (metallography); Statistical mechanics; Ternary alloys; Alloy thermodynamics; Atomic sites; Grain boundary segregation; Grain boundary structure; Grain-boundaries; Local environments; Materials design; Segregation isotherms; Solute elements; Spectral modeling; Grain boundaries; Intelligent systems","Article","Final","","Scopus","2-s2.0-105035812897"
"Chen W.; Li L.; Zhu Q.; Zhuang H.","Chen, Wei (58068627600); Li, Lin (57854240000); Zhu, Qiang (45662268000); Zhuang, Houlong (42062742100)","58068627600; 57854240000; 45662268000; 42062742100","Chemical short-range order in complex concentrated alloys","2023","MRS Bulletin","48","7","","762","768","8","10.1557/s43577-023-00575-8","https://www.scopus.com/pages/publications/85166656827?origin=resultslist","Complex concentrated alloys (CCAs) have drawn immense attention from the materials research community and beyond. Because the vast compositional and structural degrees of freedom in CCAs can lead to novel properties (e.g., structural and functional) with a wide range of applications, the structure–property relationships of CCAs are of critical interest. One salient feature in the atomic structures of CCAs is the presence of chemical short-range ordering (CSRO). Understanding the roles of CSRO on properties, especially phase stability, requires joint efforts from experimental and computational approaches. In this article, we first briefly survey the most recent experimental efforts in identifying and characterizing CSRO of various CCAs. We then focus on the theoretical and computational techniques that have been deployed to investigate the CSRO effects. These computational methods include density functional theory (DFT), molecular dynamics (MD), and statistical mechanics methods such as cluster expansions and machine learning methods such as creating transferable interatomic potentials. Finally, we outline the challenges and future directions of CSRO research in CCAs. Graphical Abstract: [Figure not available: see fulltext.] © 2023, The Author(s), under exclusive License to the Materials Research Society.","Complex concentrated alloys; High-entropy alloys; Phase stability; Short-range order","Chemical stability; Computation theory; Computational chemistry; Computational methods; Density functional theory; Entropy; Learning systems; Molecular dynamics; Phase stability; Statistical mechanics; Chemical short-range order; Complex concentrated alloy; Experimental approaches; High entropy alloys; Materials research; Property; Research communities; Salient features; Short range ordering; Structure-properties relationships; Degrees of freedom (mechanics)","Review","Final","","Scopus","2-s2.0-85166656827"
"Ju X.; Chen C.; Oral C.M.; Sevim S.; Golestanian R.; Sun M.; Bouzari N.; Lin X.; Urso M.; Nam J.S.; Cho Y.; Peng X.; Landers F.C.; Yang S.; Adibi A.; Taz N.; Wittkowski R.; Ahmed D.; Wang W.; Magdanz V.; Medina-Sánchez M.; Guix M.; Bari N.; Behkam B.; Kapral R.; Huang Y.; Tang J.; Wang B.; Morozov K.; Leshansky A.; Abbasi S.A.; Choi H.; Ghosh S.; Borges Fernandes B.; Battaglia G.; Fischer P.; Ghosh A.; Jurado Sánchez B.; Escarpa A.; Martinet Q.; Palacci J.; Lauga E.; Moran J.; Ramos-Docampo M.A.; Städler B.; Herrera Restrepo R.S.; Yossifon G.; Nicholas J.D.; Ignés-Mullol J.; Puigmartí-Luis J.; Liu Y.; Zarzar L.D.; Shields C.W., IV; Li L.; Li S.; Ma X.; Gracias D.H.; Velev O.; Sánchez S.; Esplandiu M.J.; Simmchen J.; Lobosco A.; Misra S.; Wu Z.; Li J.; Kuhn A.; Nourhani A.; Maric T.; Xiong Z.; Aghakhani A.; Mei Y.; Tu Y.; Peng F.; Diller E.; Sakar M.S.; Sen A.; Law J.; Sun Y.; Pena-Francesch A.; Villa K.; Li H.; Fan D.E.; Liang K.; Huang T.J.; Chen X.-Z.; Tang S.; Zhang X.; Cui J.; Wang H.; Gao W.; Kumar Bandari V.; Schmidt O.G.; Wu X.; Guan J.; Sitti M.; Nelson B.J.; Pané S.; Zhang L.; Shahsavan H.; He Q.; Kim I.-D.; Wang J.; Pumera M.","Ju, Xiaohui (55568831100); Chen, Chuanrui (55601962700); Oral, Cagatay M. (57203728973); Sevim, Semih (56681964800); Golestanian, Ramin (57210215641); Sun, Mengmeng (57208712980); Bouzari, Negin (58640503700); Lin, Xiankun (55474338300); Urso, Mario (57201118017); Nam, Jong Seok (57210128458); Cho, Yujang (57211629881); Peng, Xia (57241131700); Landers, Fabian C. (57220028568); Yang, Shihao (57349589000); Adibi, Azin (57224170158); Taz, Nahid (60016403300); Wittkowski, Raphael (34772069200); Ahmed, Daniel (23484512400); Wang, Wei (59634068200); Magdanz, Veronika (37004742400); Medina-Sánchez, Mariana (55249569700); Guix, Maria (6603927725); Bari, Naimat (56785966600); Behkam, Bahareh (9133125100); Kapral, Raymond (7003769032); Huang, Yaxin (57196143245); Tang, Jinyao (12791614900); Wang, Ben (57131275300); Morozov, Konstantin (7006118814); Leshansky, Alexander (6603190120); Abbasi, Sarmad Ahmad (57927242000); Choi, Hongsoo (57762223900); Ghosh, Subhadip (57200710282); Borges Fernandes, Bárbara (59308155500); Battaglia, Giuseppe (57204254218); Fischer, Peer (55766336000); Ghosh, Ambarish (55448412800); Jurado Sánchez, Beatriz (16402307500); Escarpa, Alberto (6603805710); Martinet, Quentin (57205395426); Palacci, Jérémie (35811035900); Lauga, Eric (6602192243); Moran, Jeffrey (25028735900); Ramos-Docampo, Miguel A. (57194082542); Städler, Brigitte (11739377100); Herrera Restrepo, Ramón Santiago (57961715100); Yossifon, Gilad (25928151200); Nicholas, James D. (57218190631); Ignés-Mullol, Jordi (6603867907); Puigmartí-Luis, Josep (14830477000); Liu, Yutong (59164052600); Zarzar, Lauren D. (35424763100); Shields, C. Wyatt (55775172200); Li, Longqiu (36159736600); Li, Shanshan (59732554900); Ma, Xing (55324343900); Gracias, David H. (6701384299); Velev, Orlin (7006708570); Sánchez, Samuel (22136449900); Esplandiu, Maria Jose (6603635011); Simmchen, Juliane (52264666900); Lobosco, Antonio (59364490300); Misra, Sarthak (15023216100); Wu, Zhiguang (36731832700); Li, Jinxing (43861438600); Kuhn, Alexander (7202398713); Nourhani, Amir (10739671100); Maric, Tijana (57194858958); Xiong, Ze (48762023500); Aghakhani, Amirreza (56464886700); Mei, Yongfeng (7102674791); Tu, Yingfeng (56110223400); Peng, Fei (56109943800); Diller, Eric (34881439200); Sakar, Mahmut Selman (57195363304); Sen, Ayusman (7401592563); Law, Junhui (57208061692); Sun, Yu (59796591500); Pena-Francesch, Abdon (55885015000); Villa, Katherine (55763067400); Li, Huaizhi (57219051511); Fan, Donglei Emma (7202965538); Liang, Kang (57204578297); Huang, Tony Jun (7404961232); Chen, Xiang-Zhong (57205770210); Tang, Songsong (57202681676); Zhang, Xueji (57209228824); Cui, Jizhai (59664880500); Wang, Hong (57207240928); Gao, Wei (57189061127); Kumar Bandari, Vineeth (59970207400); Schmidt, Oliver G. (7201468610); Wu, Xianghua (59251881400); Guan, Jianguo (59831143900); Sitti, Metin (7003431959); Nelson, Bradley J. (57202020272); Pané, Salvador (9275754600); Zhang, Li (57218523649); Shahsavan, Hamed (35504067100); He, Qiang (57129572600); Kim, Il-Doo (36037925300); Wang, Joseph (7701314455); Pumera, Martin (16246120900)","55568831100; 55601962700; 57203728973; 56681964800; 57210215641; 57208712980; 58640503700; 55474338300; 57201118017; 57210128458; 57211629881; 57241131700; 57220028568; 57349589000; 57224170158; 60016403300; 34772069200; 23484512400; 59634068200; 37004742400; 55249569700; 6603927725; 56785966600; 9133125100; 7003769032; 57196143245; 12791614900; 57131275300; 7006118814; 6603190120; 57927242000; 57762223900; 57200710282; 59308155500; 57204254218; 55766336000; 55448412800; 16402307500; 6603805710; 57205395426; 35811035900; 6602192243; 25028735900; 57194082542; 11739377100; 57961715100; 25928151200; 57218190631; 6603867907; 14830477000; 59164052600; 35424763100; 55775172200; 36159736600; 59732554900; 55324343900; 6701384299; 7006708570; 22136449900; 6603635011; 52264666900; 59364490300; 15023216100; 36731832700; 43861438600; 7202398713; 10739671100; 57194858958; 48762023500; 56464886700; 7102674791; 56110223400; 56109943800; 34881439200; 57195363304; 7401592563; 57208061692; 59796591500; 55885015000; 55763067400; 57219051511; 7202965538; 57204578297; 7404961232; 57205770210; 57202681676; 57209228824; 59664880500; 57207240928; 57189061127; 59970207400; 7201468610; 59251881400; 59831143900; 7003431959; 57202020272; 9275754600; 57218523649; 35504067100; 57129572600; 36037925300; 7701314455; 16246120900","Technology Roadmap of Micro/Nanorobots","2025","ACS Nano","19","27","","24174","24334","81","10.1021/acsnano.5c03911","https://www.scopus.com/pages/publications/105009484326?origin=resultslist","Inspired by Richard Feynman’s 1959 lecture and the 1966 film Fantastic Voyage, the field of micro/nanorobots has evolved from science fiction to reality, with significant advancements in biomedical and environmental applications. Despite the rapid progress, the deployment of functional micro/nanorobots remains limited. This review of the technology roadmap identifies key challenges hindering their widespread use, focusing on propulsion mechanisms, fundamental theoretical aspects, collective behavior, material design, and embodied intelligence. We explore the current state of micro/nanorobot technology, with an emphasis on applications in biomedicine, environmental remediation, analytical sensing, and other industrial technological aspects. Additionally, we analyze issues related to scaling up production, commercialization, and regulatory frameworks that are crucial for transitioning from research to practical applications. We also emphasize the need for interdisciplinary collaboration to address both technical and nontechnical challenges, such as sustainability, ethics, and business considerations. Finally, we propose a roadmap for future research to accelerate the development of micro/nanorobots, positioning them as essential tools for addressing grand challenges and enhancing the quality of life. © 2025 The Authors. Published by American Chemical Society","collective behavior; functionality; intelligence; micro/nanorobots; nanotechnology; propulsion; smart materials; technological translation","Humans; Nanotechnology; Robotics; Environmental technology; Sustainable development; Biomedical applications; Collective behaviour; Environmental applications; Functionality; Functionals; Intelligence; Micro/nanorobots; Science fictions; Technological translation; Technology roadmaps; devices; human; nanotechnology; procedures; robotics; Intelligent materials; Nanotechnology","Review","Final","All Open Access; Green Open Access; Hybrid Gold Open Access","Scopus","2-s2.0-105009484326"
"Acree W., Jr.; Chickos J.S.","Acree, William (35496753700); Chickos, James S. (7003688164)","35496753700; 7003688164","Phase transition enthalpy measurements of organic and organometallic compounds and ionic liquids. sublimation, vaporization, and fusion enthalpies from 1880 to 2015. part 2. C11-C192","2017","Journal of Physical and Chemical Reference Data","46","1","013104","","","127","10.1063/1.4970519","https://www.scopus.com/pages/publications/85032069714?origin=resultslist","The second part of this compendium concludes with a collection of phase change enthalpies of organic molecules inclusive of C11-C192 reported over the period 1880-2015. Also included are phase change enthalpies including fusion, vaporization, and sublimation enthalpies for organometallic, ionic liquids, and a few inorganic compounds. Paper I of this compendium, published separately, includes organic compounds from C1 to C10 and describes a group additivity method for evaluating solid, liquid, and gas phase heat capacities as well as temperature adjustments of phase changes. Paper II of this compendium also includes an updated version of a group additivity method for evaluating total phase change entropies which together with the fusion temperature can be useful in estimating total phase change enthalpies. Other uses include application in identifying potential substances that either form liquid or plastic crystals or exhibit additional phase changes such as undetected solid-solid transitions or behave anisotropically in the liquid state. © 2017 AIP Publishing LLC for the National Institute of Standards and Technology.","","Inorganic compounds; Ionic liquids; Organometallics; Sublimation; Fusion temperature; Group additivity methods; Organometallic compounds; Phase change enthalpy; Phase transition enthalpy; Solid-solid transitions; Sublimation enthalpy; Temperature adjustment; Enthalpy","Article","Final","All Open Access; Bronze Open Access; Green Open Access","Scopus","2-s2.0-85032069714"
"Liu J.; Chen T.; Mao S.; Chen M.","Liu, Jianchuan (56055158300); Chen, Tao (57208726520); Mao, Sheng (60143184000); Chen, Mohan (55786822500)","56055158300; 57208726520; 60143184000; 55786822500","Structural and mechanical properties of W-Cu compounds characterized by a neural-network-based potential","2025","Computational Materials Science","253","","113825","","","2","10.1016/j.commatsci.2025.113825","https://www.scopus.com/pages/publications/105001354698?origin=resultslist","We develop a neural-network deep potential (DP) model spanning 0–3,000 K and 0–10 GPa, trained on density functional theory data across the full concentration CuxW100-x compounds. We systematically investigate the structural and mechanical properties of W-Cu alloys. The results show that the bulk modulus (B) and Young's modulus (E) of W-Cu alloys exhibit a linear decline as the Cu content increases, indicating a softening trend in the CuxW100-x compounds as the Cu concentration rises. Besides, a brittle-to-ductile transition in the deformation mode predicted is predicted at around 37.5 at. % Cu content. Moreover, tensile testing demonstrates that Cu-poor region effectively block shear band advancement, simultaneously stimulating nucleation of secondary shear bands in adjacent Cu-rich domains. The results are anticipated to aid in exploring the physical mechanisms underlying the complex phenomena of W-Cu systems. © 2025","MD simulation; Neural-network-based potential; Structural and mechanical properties; W-Cu compounds","Bulk Density; Tensile testing; Tin alloys; Cu compounds; Cu content; Density-functional-theory; MD simulation; Network-based; Neural-network-based potential; Neural-networks; Potential modeling; Structural and mechanical properties; W/Cu alloy; Copper alloys","Article","Final","","Scopus","2-s2.0-105001354698"
"Kosmulski M.","Kosmulski, Marek (56266094300)","56266094300","The pH dependent surface charging and points of zero charge. IX. Update","2021","Advances in Colloid and Interface Science","296","","102519","","","120","10.1016/j.cis.2021.102519","https://www.scopus.com/pages/publications/85114256576?origin=resultslist","Summary of the points of zero charge (PZC) and isoelectric points (IEP) of various materials published in the recent literature and of older results overlooked in the previous compilations. The roles of experimental conditions, especially of the temperature, of the nature and concentration of supporting electrolyte, and of the type of apparatus are emphasized. The newest results are compared with the zero points reported in previous reviews. Most recent studies were carried out with materials whose pH dependent surface charging is already well-documented, and the newest results are consistent with the older literature. Isoelectric points of Gd(OH)3, Sm(OH)3, and TeO2 have been reported for the first time in the recent literature. © 2021 The Author(s)","Isoelectric point; Metal oxides; Particle size; Point of zero charge; Zeta potential, pH","Electrolytes; Samarium compounds; Experimental conditions; Iso-electric points; PH-dependent; Supporting electrolyte; Surface charging; Zero charge; Zero point; Surface charge","Article","Final","All Open Access; Hybrid Gold Open Access","Scopus","2-s2.0-85114256576"
"Haghi A.K.; Thomas S.; MirMahaleh M.M.; Rafiei S.; Maghsoodlou S.; Afzali A.","Haghi, A.K. (8424211300); Thomas, Sabu (7404654376); MirMahaleh, Moein MehdiPour (57203954463); Rafiei, Saeedeh (55571017400); Maghsoodlou, Shima (57203996800); Afzali, Arezo (36163820400)","8424211300; 7404654376; 57203954463; 55571017400; 57203996800; 36163820400","Foundations of Nanotechnology: Volume 1 Pore Size in Carbon-Based Nano-Adsorbents","2015","Foundations of Nanotechnology: Volume 1 Pore Size in Carbon-Based Nano-Adsorbents","","","","1","276","1","10.1201/b18818","https://www.scopus.com/pages/publications/84973872248?origin=resultslist","Nanoscale science, engineering, and technology-commonly referred to collectively as nanotechnology-is believed by many to offer extraordinary economic and societal benefits. Nanotechnology is generally defined as the ability to create and use materials, devices, and systems with unique properties at the scale of approximately 1 to 100 nm. Nanotechn © 2015 by Apple Academic Press, Inc.","","","Book","Final","","Scopus","2-s2.0-84973872248"
"Yao N.; Chen X.; Fu Z.-H.; Zhang Q.","Yao, Nan (57222758032); Chen, Xiang (57189360992); Fu, Zhong-Heng (56711539000); Zhang, Qiang (55627873062)","57222758032; 57189360992; 56711539000; 55627873062","Applying Classical, Ab Initio, and Machine-Learning Molecular Dynamics Simulations to the Liquid Electrolyte for Rechargeable Batteries","2022","Chemical Reviews","122","12","","10970","11021","495","10.1021/acs.chemrev.1c00904","https://www.scopus.com/pages/publications/85131040130?origin=resultslist","Rechargeable batteries have become indispensable implements in our daily life and are considered a promising technology to construct sustainable energy systems in the future. The liquid electrolyte is one of the most important parts of a battery and is extremely critical in stabilizing the electrode-electrolyte interfaces and constructing safe and long-life-span batteries. Tremendous efforts have been devoted to developing new electrolyte solvents, salts, additives, and recipes, where molecular dynamics (MD) simulations play an increasingly important role in exploring electrolyte structures, physicochemical properties such as ionic conductivity, and interfacial reaction mechanisms. This review affords an overview of applying MD simulations in the study of liquid electrolytes for rechargeable batteries. First, the fundamentals and recent theoretical progress in three-class MD simulations are summarized, including classical, ab initio, and machine-learning MD simulations (section 2). Next, the application of MD simulations to the exploration of liquid electrolytes, including probing bulk and interfacial structures (section 3), deriving macroscopic properties such as ionic conductivity and dielectric constant of electrolytes (section 4), and revealing the electrode-electrolyte interfacial reaction mechanisms (section 5), are sequentially presented. Finally, a general conclusion and an insightful perspective on current challenges and future directions in applying MD simulations to liquid electrolytes are provided. Machine-learning technologies are highlighted to figure out these challenging issues facing MD simulations and electrolyte research and promote the rational design of advanced electrolytes for next-generation rechargeable batteries © 2022 American Chemical Society. ","","Additives; Electrodes; Electrolytes; Ionic conductivity; Liquids; Machine learning; Physicochemical properties; Reaction kinetics; Secondary batteries; Ab initio; Daily lives; Electrode-electrolyte interfaces; Lifespans; Liquid electrolytes; Long life; Machine-learning; Reaction mechanism; Safe life; Sustainable energy systems; Molecular dynamics","Review","Final","","Scopus","2-s2.0-85131040130"
